Account id: 1266239359
Account id: 17793358
Account id: 1911303422
Account id: 109065990
Tweet id: 990304627600977920, Replies: 427
Tweet id: 989074538058211329, Replies: 138
Tweet id: 989293737229602816, Replies: 132
Tweet id: 988984192661942272, Replies: 117
Tweet id: 988961543466504192, Replies: 89
Tweet id: 989656121458810881, Replies: 83
Tweet id: 989261951380402177, Replies: 83
Tweet id: 988953993626955782, Replies: 77
Tweet id: 989253051323215872, Replies: 70
Tweet id: 990637653308657664, Replies: 69
Tweet id: 988453464291323905, Replies: 69
Tweet id: 989163386909986818, Replies: 68
Tweet id: 990018512092631041, Replies: 63
Tweet id: 988956140238245888, Replies: 62
Tweet id: 989234039491047424, Replies: 61
Tweet id: 990352710267473923, Replies: 58
Tweet id: 988815236147875840, Replies: 58
Tweet id: 988820429140832257, Replies: 54
Tweet id: 990610659971911680, Replies: 50
Tweet id: 990086707507802112, Replies: 50
Tweet id: 989538776757268482, Replies: 50
Tweet id: 989900975149408256, Replies: 48
Tweet id: 989913570174537730, Replies: 47
Tweet id: 989884693096140801, Replies: 47
Tweet id: 990351793736601601, Replies: 46
Tweet id: 990369068023795717, Replies: 43
Tweet id: 990217066157367296, Replies: 43
Tweet id: 989304892006248448, Replies: 43
Tweet id: 988826073336090624, Replies: 42
Tweet id: 990026560492093441, Replies: 41
Tweet id: 989089637644820480, Replies: 41
Tweet id: 989688332539060236, Replies: 40
Tweet id: 988991490826428416, Replies: 39
Tweet id: 990050723776925696, Replies: 38
Tweet id: 989623744950763522, Replies: 35
Tweet id: 989176711152590850, Replies: 35
Tweet id: 990320246308376576, Replies: 34
Tweet id: 989974721474293760, Replies: 34
Tweet id: 988840747880337409, Replies: 34
Tweet id: 990699247229120512, Replies: 33
Tweet id: 989172110542213121, Replies: 32
Tweet id: 989044339052630016, Replies: 30
Tweet id: 988938894296125441, Replies: 30
Tweet id: 990278974940045314, Replies: 29
Tweet id: 990041409016262656, Replies: 28
Tweet id: 990071356191576064, Replies: 27
Tweet id: 988999292366065664, Replies: 27
Tweet id: 988574845783937024, Replies: 27
Tweet id: 989282081632083969, Replies: 26
Tweet id: 988906838098931712, Replies: 26
Tweet id: 990247772535316480, Replies: 24
Tweet id: 989120095170564097, Replies: 24
Tweet id: 988969093410775040, Replies: 24
Tweet id: 989534599733760000, Replies: 23
Tweet id: 988908442621366272, Replies: 23
Tweet id: 989896977721643008, Replies: 22
Tweet id: 989672478577393665, Replies: 22
Tweet id: 989270832735227904, Replies: 21
Account id: 14075928
Tweet id: 989277648546422785, Replies: 1065
Tweet id: 989589470713470976, Replies: 443
Tweet id: 989270855204196353, Replies: 388
Tweet id: 989533340075286530, Replies: 148
Tweet id: 988923075445043203, Replies: 117
Tweet id: 990381428847316992, Replies: 112
Tweet id: 989558749013643264, Replies: 67
Tweet id: 988915550159036416, Replies: 66
Tweet id: 989597261494718471, Replies: 64
Tweet id: 989242914688720896, Replies: 57
Tweet id: 989912577999278080, Replies: 54
Tweet id: 989922252043976704, Replies: 52
Tweet id: 989566560544133123, Replies: 51
Tweet id: 988931886130098176, Replies: 50
Tweet id: 988785904734097408, Replies: 48
Tweet id: 990606157285863424, Replies: 47
Tweet id: 989889186416267264, Replies: 46
Tweet id: 989838084853452800, Replies: 46
Tweet id: 989551169889538048, Replies: 42
Tweet id: 988942159167524864, Replies: 37
Tweet id: 990266954056372224, Replies: 36
Tweet id: 989305571571576832, Replies: 36
Tweet id: 990427223902613504, Replies: 35
Tweet id: 989541142344716288, Replies: 35
Tweet id: 988871480581787648, Replies: 35
Tweet id: 988968382069428229, Replies: 34
Tweet id: 988467567730855942, Replies: 34
Tweet id: 989200060004163587, Replies: 33
Tweet id: 989574329980497920, Replies: 32
Tweet id: 989990090725347328, Replies: 31
Tweet id: 989960258650103809, Replies: 31
Tweet id: 990358522394304515, Replies: 29
Tweet id: 989939018581315584, Replies: 29
Tweet id: 990335614867427329, Replies: 27
Tweet id: 989191585249349634, Replies: 25
Tweet id: 989904787268341760, Replies: 24
Tweet id: 988827435360837632, Replies: 23
Tweet id: 989929940413018112, Replies: 22
Tweet id: 989849912018915328, Replies: 22
Tweet id: 989352905332482049, Replies: 22
Tweet id: 990221116919767041, Replies: 21
Tweet id: 989973209641639936, Replies: 21
Account id: 393693452
Account id: 2302467404
Account id: 73572581
Account id: 2275780065
Account id: 18380551
Account id: 735574058167734273
Account id: 2455959913
Account id: 525815006
Account id: 4730093353
Sum of all replies: 6793
