Account id: 5988062
Tweet id: 987564292923969536, Replies: 250
Tweet id: 987699799129513984, Replies: 184
Tweet id: 987664931481964544, Replies: 183
Tweet id: 987000916665618433, Replies: 161
Tweet id: 987246491059208192, Replies: 146
Tweet id: 987900229319045120, Replies: 94
Tweet id: 987617157377855488, Replies: 76
Tweet id: 987135978488901632, Replies: 73
Tweet id: 987864150897582081, Replies: 65
Tweet id: 986810778492833793, Replies: 39
Tweet id: 986890216026886144, Replies: 37
Tweet id: 987936359276007424, Replies: 35
Tweet id: 987360298821672960, Replies: 34
Tweet id: 987349441882591233, Replies: 32
Tweet id: 987694875314450433, Replies: 31
Tweet id: 987097490250969088, Replies: 31
Tweet id: 986929072172339200, Replies: 31
Tweet id: 986603323053748224, Replies: 31
Tweet id: 987664932891185153, Replies: 30
Tweet id: 986780222568714241, Replies: 28
Tweet id: 987404135657066496, Replies: 27
Tweet id: 986845135517503488, Replies: 27
Tweet id: 987672932267806720, Replies: 25
Tweet id: 987192507309133824, Replies: 25
Tweet id: 987160626668752896, Replies: 25
Tweet id: 987839879294877696, Replies: 23
Tweet id: 987081470148861952, Replies: 23
Tweet id: 987287940819808256, Replies: 22
Tweet id: 987261233157083136, Replies: 22
Tweet id: 986692099738423302, Replies: 22
Tweet id: 987399288488710146, Replies: 21
Tweet id: 986937625931079680, Replies: 21
Tweet id: 986735151227994112, Replies: 21
Account id: 23484039
Account id: 32353291
Account id: 2467791
Tweet id: 987940026964152320, Replies: 259
Tweet id: 987923329427361793, Replies: 243
Tweet id: 987960702546726912, Replies: 54
Tweet id: 987873055321051136, Replies: 38
Tweet id: 987946822864916480, Replies: 37
Tweet id: 987887979359285251, Replies: 36
Tweet id: 987880366533902339, Replies: 36
Tweet id: 987909608076468225, Replies: 33
Tweet id: 987925747749871616, Replies: 32
Tweet id: 987505467114082304, Replies: 30
Tweet id: 987887590014668802, Replies: 23
Tweet id: 987691483275890688, Replies: 23
Tweet id: 987345648717651968, Replies: 22
Tweet id: 987773466035261441, Replies: 21
Account id: 1652541
Tweet id: 987449238836695040, Replies: 292
Tweet id: 987517162419089409, Replies: 54
Tweet id: 987473890686455808, Replies: 53
Tweet id: 987529528460431361, Replies: 50
Tweet id: 987589349532487680, Replies: 49
Tweet id: 987682481502605312, Replies: 48
Tweet id: 987893844011311107, Replies: 46
Tweet id: 987727720217006081, Replies: 45
Tweet id: 987755419320889344, Replies: 40
Tweet id: 987501291206332416, Replies: 39
Tweet id: 987351087274393601, Replies: 37
Tweet id: 987450244630745089, Replies: 36
Tweet id: 987375490204880898, Replies: 36
Tweet id: 987408129951453185, Replies: 35
Tweet id: 987652275849056256, Replies: 34
Tweet id: 987710130857922560, Replies: 33
Tweet id: 987498754839384065, Replies: 33
Tweet id: 987463507192041489, Replies: 33
Tweet id: 987662378451066880, Replies: 32
Tweet id: 987619515814105090, Replies: 32
Tweet id: 987584312055947264, Replies: 31
Tweet id: 987689993681424385, Replies: 30
Tweet id: 987554088970805248, Replies: 30
Tweet id: 987840999555846144, Replies: 28
Tweet id: 987705090768334850, Replies: 28
Tweet id: 987443651671412736, Replies: 28
Tweet id: 987423211892723712, Replies: 27
Tweet id: 987818348271538178, Replies: 26
Tweet id: 987517162297405440, Replies: 26
Tweet id: 987966790591492096, Replies: 25
Tweet id: 987903992838672384, Replies: 25
Tweet id: 987426930692521984, Replies: 25
Tweet id: 987420812973150208, Replies: 25
Tweet id: 987355963396120577, Replies: 25
Tweet id: 987397422346330112, Replies: 24
Tweet id: 987887708432424960, Replies: 23
Tweet id: 987582921287569408, Replies: 23
Tweet id: 987486210229719040, Replies: 23
Tweet id: 987888894107676672, Replies: 22
Tweet id: 987659793732177921, Replies: 22
